"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
587522,3.0,bike,81,44,73774,240.70000000000002,0.0,3,283,69800,70084,42,71284,230.5,0.0,65824,67964,42,22627,10491,22759,15422,65824,67964,30.00,29.41,0.05,0.00,0.00,10,8,0,47,3,,,2,1
587522,4.0,bike,81,47,82040,262.32,0.0,1,265,79242,72606,43,76061,243.82000000000002,0.0,72543,68322,41,22554,12694,22912,15050,70192,64695,30.25,29.37,0.04,0.00,0.00,11,9,1,47,0,,,,
587522,5.0,bike,81,49,75593,261.81,0.0,1,10,66473,64562,46,71196,246.66,0.0,63066,60286,47,21734,13486,20520,17452,64589,61043,30.00,29.39,0.03,0.00,0.00,10,10,0,49,0,,,,
587522,6.0,bike,81,36,62032,200.54999999999998,0.0,1,156,55151,55852,36,62032,200.54999999999998,0.0,55151,55852,34,18137,10048,18294,13692,53173,55412,24.00,23.65,0.02,6.00,0.00,8,8,0,33,1,,,1,
587522,7.0,bike,81,48,78259,259.35,0.0,1,163,68339,75133,45,75782,244.2,0.0,63411,71267,43,21638,13681,24539,15633,61730,69733,30.00,29.46,0.00,0.00,0.00,10,9,0,47,1,,,1,
587522,8.0,bike,81,45,73456,257.54999999999995,0.0,3,1401,58821,69158,43,70593,246.75,0.0,56403,65886,43,20875,10424,23820,16138,56403,65886,30.00,29.48,0.00,0.00,0.00,10,10,0,47,2,,,2,
587522,9.0,bike,81,42,75247,239.87,0.0,1,151,60173,69634,40,71816,229.37,0.0,57660,65661,40,20346,12024,22593,17093,56791,64590,30.25,29.16,0.01,0.00,0.00,11,9,1,43,1,,,1,
587522,10.0,bike,81,37,64711,201.39,0.0,1,1149,58687,56087,36,62040,195.19,0.0,57324,55050,36,19557,7810,21084,14974,56378,54918,30.00,26.53,0.21,0.00,0.00,10,8,1,37,0,,,,
587703,2.0,bike,81,13,25740,69.25,0.0,3,3341,20110,26652,9,21129,49.75,0.0,14809,18587,8,6753,2229,8020,2141,13102,16681,12.00,10.04,0.22,0.00,0.00,4,3,0,13,2,,1,1,
587703,4.0,bike,81,29,74563,157.44000000000003,0.0,2,1952,43994,55189,29,74563,157.44000000000003,0.0,43994,55189,27,24003,15049,24635,7425,41942,51580,30.00,29.21,0.32,0.00,0.00,10,9,0,31,2,,2,,
587703,5.0,bike,81,30,62223,158.76000000000002,0.0,2,3175,39413,44279,28,58969,148.46,0.0,36251,42536,25,20106,8417,18901,7420,33966,38312,30.00,27.16,0.34,0.00,0.00,10,10,1,28,0,,,,
587703,6.0,bike,81,21,43586,108.85000000000002,0.0,2,3605,30965,32709,21,43586,108.85000000000002,0.0,30965,32709,21,16215,6995,15454,6224,30965,32709,18.00,15.98,0.06,11.98,0.00,6,5,0,23,2,,,,3
587703,7.0,bike,81,33,81914,172.7,0.0,1,1127,49590,60265,31,78793,162.15,0.0,47228,56205,30,24719,11435,26553,13285,45840,54325,30.00,29.59,0.20,0.00,0.00,10,9,0,31,1,,1,,
587703,8.0,bike,81,28,64424,153.15,0.0,1,1061,39569,41624,28,64424,153.15,0.0,39569,41624,27,22099,12140,19617,8820,37903,40886,24.25,21.88,0.68,6.00,0.00,9,3,0,25,1,,1,,
587703,10.0,bike,81,32,74323,164.41,0.0,2,1197,44542,44776,30,71025,155.00999999999996,0.0,41929,41372,30,25962,16237,18800,10598,41929,41372,30.00,28.58,0.05,0.00,0.00,10,10,0,32,2,,,1,1
589766,2.0,bike,80,28,51366,146.23000000000002,0.0,5,3644,39638,50827,26,48714,135.73,0.0,36460,43996,26,15622,6348,15931,11183,34840,43707,18.00,17.80,0.33,0.00,0.00,6,6,0,31,3,,2,1,
589766,3.0,bike,80,48,95896,258.01000000000005,0.0,0,0,73805,80009,46,93371,248.21000000000004,0.0,70657,77038,45,28603,9991,30197,22838,69640,76599,30.25,29.51,0.49,0.00,0.00,11,9,1,43,0,,,,
589766,4.0,bike,80,42,72415,211.55,0.0,0,0,55515,61338,37,65018,187.59999999999997,0.0,48324,52270,37,19648,7871,21706,16092,48324,52270,24.00,23.56,0.42,6.00,0.00,8,8,0,40,0,,,,
589766,5.0,bike,80,53,87953,279.47,0.0,8,3931,64609,80660,50,84728,264.19,0.0,62086,78864,49,25549,9839,27473,21286,61350,76873,30.00,29.74,0.65,0.00,0.00,10,10,0,51,0,,,,
589766,6.0,bike,80,49,94223,268.11999999999995,0.0,1,562,76351,80382,46,89592,252.72,0.0,71269,74620,44,27975,8529,27971,23182,69661,71795,30.00,29.65,1.08,0.00,0.00,10,9,0,45,0,,,,
589766,7.0,bike,80,51,93646,277.49,0.0,0,0,68521,74782,49,89389,265.69,0.0,64473,70818,49,27876,11727,28283,23394,65115,71103,30.00,29.60,0.52,0.00,0.00,10,10,0,47,0,,,,
589766,8.0,bike,80,46,78345,241.36,0.0,3,2692,60837,61495,44,76070,230.06,0.0,60032,59675,44,23026,12002,22326,18855,60032,59675,30.25,29.35,0.46,0.00,0.00,11,8,1,46,2,,2,,
