"driver_id","delivery_id","zone_name","date","del_cancelation_reason","del_accepted_at","del_canceled_at"
440939,306946399,Madrid,2024-01-14,Refused delivery,2024-01-14 23:19:12.991,2024-01-14 23:26:31.951
440939,307499401,Madrid,2024-01-19,Late / Unresponsive,2024-01-19 22:18:01.779,2024-01-19 22:40:30.863
440939,307646274,Madrid,2024-01-20,Refused delivery,2024-01-20 22:14:35.497,2024-01-20 22:42:06.458
440939,309239289,Madrid,2024-02-03,Refused delivery,2024-02-03 21:20:56.761,2024-02-03 21:41:50.351
440939,309353151,Madrid,2024-02-04,Refused delivery,2024-02-04 21:05:56.068,2024-02-04 21:12:00.734
440939,312235901,Madrid,2024-03-01,Late / Unresponsive,2024-03-01 22:38:20.448,2024-03-01 22:53:51.742
440939,312468909,Madrid,2024-03-03,Equipment failure,2024-03-03 21:20:01.47,2024-03-03 22:02:16.94
440939,312478535,Madrid,2024-03-03,Late / Unresponsive,2024-03-03 22:56:39.831,2024-03-03 23:31:31.611
440939,312561448,Madrid,2024-03-04,Refused delivery,2024-03-04 22:22:00.329,2024-03-04 23:20:36.717
440939,312949012,Madrid,2024-03-08,Late / Unresponsive,2024-03-08 22:11:32.959,2024-03-08 22:37:44.336
440939,312950441,Madrid,2024-03-08,Late / Unresponsive,2024-03-08 22:37:47.395,2024-03-08 23:27:40.327
455386,307290069,Barcelona,2024-01-18,Late / Unresponsive,2024-01-18 13:31:50.893,2024-01-18 13:44:35.518
455894,313112035,Valencia,2024-03-10,Refused delivery,2024-03-10 13:38:01.454,2024-03-10 13:39:50.634
455894,313112037,Valencia,2024-03-10,Refused delivery,2024-03-10 13:38:01.454,2024-03-10 13:39:50.641
457602,309406965,Madrid,2024-02-05,Equipment failure,2024-02-05 15:23:55.749,2024-02-05 15:39:02.779
457602,310679938,Madrid,2024-02-16,Late / Unresponsive,2024-02-16 15:16:35.531,2024-02-16 15:36:13.523
457602,310790841,Madrid,2024-02-17,Equipment failure,2024-02-17 13:50:17.618,2024-02-17 14:00:37.059
457602,311064953,Madrid,2024-02-19,Late / Unresponsive,2024-02-19 22:07:01.619,2024-02-19 22:25:07.724
457602,311349870,Madrid,2024-02-22,Lack mandatory equipment,2024-02-22 21:46:38.909,2024-02-22 21:53:32.219
457602,311762129,Madrid,2024-02-26,Refused delivery,2024-02-26 15:59:13.575,2024-02-26 16:01:30.107
457602,312292198,Madrid,2024-03-02,Equipment failure,2024-03-02 14:58:43.356,2024-03-02 15:03:23.462
457602,313062483,Madrid,2024-03-09,Lack mandatory equipment,2024-03-09 20:46:29.185,2024-03-09 20:54:30.009
457604,307758074,Valencia,2024-01-21,Refused delivery,2024-01-21 22:22:57.638,2024-01-21 22:30:13.609
457604,309933604,Valencia,2024-02-09,Refused delivery,2024-02-09 21:18:11.193,2024-02-09 21:23:54.432
457604,312287575,Valencia,2024-03-02,Late / Unresponsive,2024-03-02 14:24:09.919,2024-03-02 14:35:12.938
457604,312287574,Valencia,2024-03-02,Late / Unresponsive,2024-03-02 14:24:09.919,2024-03-02 14:35:12.947
457699,306942702,Barcelona,2024-01-14,Refused delivery,2024-01-14 22:21:32.791,2024-01-14 22:30:37.6
457699,306951404,Barcelona,2024-01-16,Refused delivery,2024-01-16 12:47:48.168,2024-01-16 12:48:41.02
