Timestamp,ID Pedido,Justificado,Como se ha justificado
2/22/2024 13:02:55,308445267,NO,
2/22/2024 13:04:46,309103052,NO,
2/22/2024 13:05:24,306021155,NO,
2/22/2024 13:05:41,309253601,NO,
2/22/2024 13:05:58,310741720,NO,
2/22/2024 13:07:37,310871441,NO,
2/22/2024 13:09:19,310967351,NO,
2/22/2024 13:10:34,"Passeig de Gaudí, 35",SI,Km excesivo
2/22/2024 13:11:08,307365278,NO,
2/22/2024 13:14:48,310805476,NO,
2/22/2024 13:15:45,310805886,NO,
2/22/2024 13:18:15,308442978,NO,
2/22/2024 13:20:14,304565433,SI,kms excesivos
2/22/2024 13:21:55,304680907,SI,Kms excesivos
2/22/2024 13:24:20,304761721,SI,kms excesivos para bici
2/22/2024 13:24:43,306803666,NO,
2/22/2024 13:25:29,304761720,SI,
2/22/2024 13:25:56,306942975,NO,
2/22/2024 13:27:27,306129801,SI,kms excesivos para bici
2/22/2024 13:29:11,305217469,NO,
2/22/2024 13:29:39,305437306,NO,
2/22/2024 13:31:23,305436581,NO,
2/22/2024 13:31:26,306687479,SI,kms. excesivos en bici
2/22/2024 13:31:57,305542749,NO,
2/22/2024 13:32:57,307652851,NO,
2/22/2024 13:33:36,305766501,NO,
2/22/2024 13:35:31,306026373,NO,
2/22/2024 13:36:48,306974366,NO,
2/22/2024 13:38:33,307036015,NO,
2/22/2024 13:38:35,305602355,NO,
2/22/2024 13:40:13,307417256,NO,
2/22/2024 13:43:06,307412502,NO,
2/22/2024 13:45:00,308482625,NO,
2/22/2024 13:45:52,304557177,SI,Km excesivo
2/22/2024 13:46:12,309363415,SI,accidente
2/23/2024 11:21:15,304810546,SI,explicación
2/23/2024 11:23:52,306132112,NO,
2/23/2024 11:31:58,311267742,NO,
2/23/2024 11:35:20,311349870,NO,
2/23/2024 11:41:53,311270745,SI,foto y explicación
2/23/2024 11:43:13,309021207,SI,El pedido fue fuera de horario
2/23/2024 11:43:45,311357324,SI,explicación
2/23/2024 11:45:42,311356524,NO,
2/23/2024 12:42:48,309021321,SI,El pedido le entró fuera de horario
2/28/2024 11:44:09,311267633,SI,Presentó una foto de la avería (un pinchazo)
2/28/2024 11:45:34,311267636,SI,Presentó una foto de la avería
2/28/2024 11:48:01,311273278,SI,Pedido con avería
2/28/2024 14:05:49,311481206,SI,explicación
2/28/2024 15:00:05,311528421,SI,explicación
2/28/2024 15:01:31,311528202,SI,explicación.
2/28/2024 15:02:52,311658219,NO,
