"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
593167,1.0,bike,76,7,14657,43.33,0.0,7,1747,13849,16530,7,14657,43.33,0.0,13849,16530,7,4772,3226,5731,928,13849,16530,0.00,6.91,0.24,30.00,0.00,0,0,0,8,1,,1,,
593167,3.0,bike,76,9,13597,44.51,0.0,12,12602,12303,12814,9,13597,44.51,0.0,12303,12814,8,3440,2773,4337,1641,11120,11627,18.00,15.64,0.02,12.00,0.00,6,2,0,20,11,,7,1,5
593167,4.0,bike,76,16,22966,79.32,0.0,4,1331,16688,25037,16,22966,79.32,0.0,16688,25037,16,8915,2765,8686,2921,16688,25037,24.25,17.97,0.08,6.00,0.00,9,3,2,19,3,,,,3
593167,5.0,bike,76,6,11543,31.05,0.0,3,1959,8253,11757,6,11543,31.05,0.0,8253,11757,6,3384,2278,5169,712,8253,11757,18.00,10.82,0.00,12.00,0.00,6,0,1,9,3,,,,3
593167,6.0,bike,76,19,25719,95.94999999999999,0.0,1,941,19973,25035,17,23247,85.85,0.0,18615,23050,17,8134,4865,7509,2739,18615,23050,24.00,23.34,0.04,6.00,0.00,8,0,0,20,1,,1,,
593167,7.0,bike,76,16,27685,75.02,0.0,14,4058,17531,22087,16,27685,75.02,0.0,17531,22087,16,9309,7359,9251,2207,17531,22087,27.00,24.32,0.29,6.00,0.00,9,1,0,28,14,,1,,15
593201,1.0,bike,76,50,85480,269.35,0.0,0,0,73604,75363,46,80768,247.89999999999998,0.0,67266,68249,46,26438,11389,29557,13684,67266,68249,30.00,29.92,0.83,0.00,0.00,10,8,0,46,0,,,,
593201,2.0,bike,76,53,89182,294.51,0.0,1,72,69646,90502,51,85895,283.96,0.0,67423,85374,51,28374,10497,31165,17280,67423,85374,30.00,29.94,0.71,0.00,0.00,10,10,0,48,0,,,,
593201,3.0,bike,76,46,85482,248.09,0.0,1,75,69240,81001,45,84003,243.04,0.0,68072,78434,44,25601,12225,30221,13204,66434,76333,30.00,29.73,0.24,0.00,0.00,10,9,0,43,0,,,,
593201,4.0,bike,76,49,88648,273.78999999999996,0.0,0,0,74456,89481,46,82766,258.09000000000003,0.0,68803,83230,46,28097,11744,31677,13461,70465,83642,30.25,29.96,0.59,0.00,0.00,11,10,1,45,0,,,,
593201,5.0,bike,76,45,80090,244.50000000000003,0.0,0,0,67438,79523,45,80090,244.50000000000003,0.0,67438,79523,44,30188,7462,30365,10980,65023,77299,30.00,29.62,0.33,0.00,0.00,10,10,0,42,0,,,,
593201,6.0,bike,76,48,81817,271.06,0.0,0,0,70413,76157,46,78063,260.51,0.0,67138,74965,45,27379,9526,28872,10291,64827,73947,30.00,29.55,0.18,0.00,0.00,10,10,0,43,0,,,,
593201,7.0,bike,76,51,75839,270.69,0.0,0,0,60316,80932,51,75839,270.69,0.0,60316,80932,51,26064,11811,27159,12650,60316,80932,27.00,26.58,0.26,6.00,0.00,9,8,0,42,0,,,,
593201,51.0,bike,76,24,33644,140.85000000000002,0.0,3,1356,37365,47759,23,32342,135.45000000000002,0.0,34964,44981,22,10329,3407,11387,5633,32848,41854,18.25,16.06,0.45,0.00,0.00,6,3,1,26,2,,,2,
593204,1.0,bike,76,31,59873,164.0,0.0,4,5547,50584,53501,29,57248,153.20000000000002,0.0,46534,47540,29,21635,7130,15835,12748,46534,47540,30.00,23.64,0.83,0.00,0.00,10,5,2,35,2,,1,1,
593204,2.0,bike,76,36,70277,202.23,0.0,5,3749,56757,69849,33,66040,187.38,0.0,53286,65145,33,23128,8633,22540,12002,53286,65145,24.00,23.67,0.88,6.00,0.00,8,7,0,35,1,,1,,
593204,3.0,bike,76,41,71093,226.07999999999998,0.0,5,747,57361,68731,37,64430,205.32999999999998,0.0,51582,61790,38,22639,8090,20927,15774,53744,64152,30.00,26.82,0.33,0.00,0.00,10,8,1,40,2,,,2,
593204,4.0,bike,76,43,76171,228.04999999999998,0.0,1,1140,72058,74814,40,71883,212.05,0.0,67740,71001,40,26555,9149,22358,14922,67740,71001,30.25,29.19,1.15,0.00,0.00,11,10,1,43,1,,1,,
593204,5.0,bike,76,33,68087,181.5,0.0,5,5386,49922,54936,33,68087,181.5,0.0,49922,54936,33,24217,9072,17201,18055,49922,54936,30.00,29.98,0.49,0.00,0.00,10,9,0,37,4,,3,1,
593204,6.0,bike,76,33,62827,173.92999999999998,0.0,5,2565,46016,47675,32,61446,168.53,0.0,45681,45939,32,19626,9626,16184,16432,45681,45939,24.00,23.83,0.72,6.00,0.00,8,8,0,32,2,,1,1,
