rank,driver_id,transport_type,WAPU,WADO,PACE PU Succeded,PACE DO Succeded,PACE PU vs DO,Online Rate,Cancelations,IAB,score_WAPU,score_WADO,score_PACE PU Succeded,score_PACE DO Succeded,score_PACE PU vs DO,score_Online Rate,score_Cancelations,score_IAB,Total_Score
39,649155,e_bike,3.1193638257772243,4.083032580316077,6.337969549001389,6.211034527762584,0.12693502123880554,0.8919259259259259,0.01910331384015594,0.7000000000000001,0.1756720759162921,0.0474093471536913,0.042853555885649756,0.14583293107016623,0.06214021883537423,0.8919259259259259,0.01910331384015594,0.7000000000000001,1.0989144832245965
40,590533,bike,3.82000425700883,5.045679057264423,6.521484038819193,6.126746208322974,0.39473783049621936,0.9526686466942149,0.01836670274170274,0.7082386363636364,0.24657115260939366,0.06503052316244061,0.0456666325948441,0.14197202550810634,0.06619155768761947,0.9526686466942149,0.01836670274170274,0.7082386363636364,1.0771086887537444
41,676737,bike,4.205679633384587,5.4945337145480915,5.9801199924535196,6.300024968714194,-0.31990497626067527,0.9967182940516275,0.004279835390946503,0.6686868686868687,0.28559834383248583,0.07324677607328649,0.03736811299817113,0.14990922172021773,0.055380393396550175,0.9967182940516275,0.004279835390946503,0.6686868686868687,1.0596224793268383
42,592783,bike,4.421666666666667,2.263333333333333,9.130069619239418,5.112790092548233,4.017279526691184,0.995,0.0,0.6666666666666666,0.3074544636833821,0.014099880509487206,0.08565340065607895,0.0955268142011685,0.12099361132689339,0.995,0.0,0.6666666666666666,1.0379384962896565
43,457710,e_bike,3.428157003523851,4.312748081226342,5.8001902928720295,5.185576440873048,0.6146138519989818,0.99775,0.0,0.5,0.2069194179414736,0.051614273230302286,0.034609987208280936,0.09886086118368843,0.06951785688164704,0.99775,0.0,0.5,1.0362276035546079
44,581593,bike,3.8854632688323334,6.2423075647157455,5.582338309618208,4.9785402137028,0.6037980959154087,0.8168317837465564,0.006414473684210526,0.7400568181818182,0.25319506880471104,0.08693472377171389,0.03127055422535106,0.08937737253017203,0.06935423539851437,0.8168317837465564,0.006414473684210526,0.7400568181818182,1.0203421735137017
45,657653,bike,4.331016610248241,7.526277338045931,7.965762524061897,6.471696605721536,1.4940659183403602,0.9749166666666667,0.03181142114965644,0.7555555555555555,0.29828141997115104,0.11043770010575514,0.06780584444923461,0.157772802137721,0.08282226670070701,0.9749166666666667,0.03181142114965644,0.7555555555555555,0.9815407677079969
46,678679,bike,3.5694941766499735,4.392500759439165,7.689610100539091,5.544598952858768,2.145011147680322,0.9116296296296296,0.0,0.6148148148148148,0.22122158297559885,0.05307414039193394,0.06357272938801609,0.11530622422623342,0.09266980977025631,0.9116296296296296,0.0,0.6148148148148148,0.9805999576924057
47,591501,bike,4.481471207938599,8.578674817533512,6.362479533467131,4.567938265712483,1.7945412677546488,0.8512357995539813,0.0037593984962406013,0.773051948051948,0.31350619374238126,0.12970176189924143,0.04322926717968298,0.07056936502298397,0.08736787793084899,0.8512357995539813,0.0037593984962406013,0.773051948051948,0.9761538833345501
48,622082,bike,4.303367825564463,5.841369136230248,5.6337960056662295,5.823319879196543,-0.189523873530314,0.9353101374570447,0.02599616858237548,0.657716049382716,0.29548358927456897,0.07959557405663796,0.032059344507825244,0.12807329778891147,0.057352807459549654,0.9353101374570447,0.02599616858237548,0.657716049382716,0.974465405169892
49,618510,bike,5.328079677271044,5.699702959777439,6.37521451577231,5.839219797502671,0.5359947182696397,0.9985655496766608,0.012922445400924597,0.6834215167548501,0.3991760411000607,0.0770023846672424,0.04342448055030165,0.12880160846626945,0.06832850135587511,0.9985655496766608,0.012922445400924597,0.6834215167548501,0.952331604890837
50,504542,bike,5.666666666666667,2.783333333333333,6.612529002320185,6.555423122765197,0.057105879554987915,0.9743333333333333,0.0,0.7,0.433438272993029,0.023618443911492273,0.047062252453354284,0.1616079738138793,0.06108383889855788,0.9743333333333333,0.0,0.7,0.9475225512630204
51,591520,bike,3.9309349599017156,5.351271541858641,6.167027846897135,6.315171611840104,-0.14814376494297013,0.8982770125497398,0.019619661224528386,0.6217171717171718,0.25779643174179717,0.07062437208510662,0.04023320628112024,0.15060302792112631,0.057978808516427636,0.8982770125497398,0.019619661224528386,0.6217171717171718,0.9231386764968051
52,593212,bike,6.660075792236218,5.892095299055413,7.095199522309461,5.026213060357893,2.0689864619515683,0.9519608594733654,0.03259243128145567,0.8409090909090909,0.5339631451554526,0.08052411289700674,0.05446106439100886,0.09156107200399713,0.09151970322777198,0.9519608594733654,0.03259243128145567,0.8409090909090909,0.9082484214257633
53,276993,e_motorbikexl,5.1851345545924,8.896817752179594,6.150315586416882,4.095715686229975,2.0545999001869064,0.8786574074074074,0.0180602089934722,0.7462962962962963,0.3847111647327592,0.13552534592679658,0.03997702557973986,0.04893876666990416,0.09130206235690502,0.8786574074074074,0.0180602089934722,0.7462962962962963,0.9064391294441267
54,644184,bike,5.891605289001123,7.449809974747475,8.276986278316786,7.2805658904259,0.9964203878908845,1.0561922635445362,0.03184554394231814,0.7752840909090909,0.4562002203846425,0.10903797040240801,0.07257656470849948,0.19482381870867085,0.07529385175335583,1.0561922635445362,0.03184554394231814,0.7752840909090909,0.8916983845537323
55,531159,e_motorbike,3.563492877810037,4.938449704105843,3.542365568658446,3.5195016292395045,0.022863939418940937,0.6402380952380952,0.008403361344537815,0.6142857142857142,0.22061430065538942,0.06306769739975612,0.0,0.022544741111409652,0.060565824532561895,0.6402380952380952,0.008403361344537815,0.6142857142857142,0.8793278844801544
56,461206,bike,6.659278622038377,6.525183601981824,7.190092295718248,6.6668885989980895,0.5232036967201589,0.9591658918732783,0.05080670963023904,0.8710227272727273,0.5338824780565032,0.09211274972483911,0.055915666973138156,0.16671375454395507,0.06813499792435021,0.9591658918732783,0.05080670963023904,0.8710227272727273,0.8626222622929808
57,405143,bike,1.3833333333333333,7.483333333333333,4.933553567520245,5.608228131898454,-0.6746745643782095,0.9586666666666667,0.0,0.2,0.0,0.1096516131219227,0.021325392679315023,0.11822081847721555,0.05001341528335916,0.9586666666666667,0.0,0.2,0.8594554271048542
58,461915,motorbike,4.404629629629629,3.0856481481481484,4.162459497325911,3.53562974102239,0.6268297563035216,0.9974285714285713,0.0,0.2857142857142857,0.30573045498838164,0.029152295319531195,0.009505362709937026,0.02328350440509093,0.06970265990093397,0.9974285714285713,0.0,0.2857142857142857,0.8457685798189823
59,641340,bike,5.361231676028015,3.5833078772725986,6.750706893390126,6.533963177395463,0.2167437159946628,0.9982237325178214,0.020767195767195767,0.5819304152637486,0.40253075201542765,0.03826192163548455,0.049180368616717506,0.16062498087974122,0.06349885079051593,0.9982237325178214,0.020767195767195767,0.5819304152637486,0.8452900780764874
60,674783,e_motorbike,4.328944119345035,3.9008083995797276,5.76714943058157,5.184541137659226,0.5826082929223442,0.9613888888888888,0.03443365197681727,0.44999999999999996,0.2980717008556928,0.04407374635038865,0.03410350687393095,0.09881343814852485,0.06903367463824726,0.9613888888888888,0.03443365197681727,0.44999999999999996,0.8328591700452871
61,480282,bike,3.310563177616265,8.502371382500483,8.13055470721115,5.828162089797446,2.3023926174137044,0.9718076790633609,0.11852945286155579,0.571590909090909,0.19501988529959957,0.12830503289125553,0.07033192864419217,0.1282950997890698,0.09505068719541221,0.9718076790633609,0.11852945286155579,0.571590909090909,0.8078665014731848
62,438598,e_motorbikexl,4.129471196098258,8.358442837202253,3.7104458423881996,3.786389808119357,-0.07594396573115755,0.8936785714285714,0.004081632653061224,0.41428571428571426,0.27788667376753234,0.12567043099937175,0.0025764870325695136,0.03476980457377391,0.05907105191925902,0.8936785714285714,0.004081632653061224,0.41428571428571426,0.8039082047687178
63,465133,e_bike,3.635408325012621,4.756358355991918,5.038888186418183,4.931171815000559,0.1077163714176248,0.9281425133883341,0.00625,0.31754079254079254,0.2278915552632515,0.059734528088258104,0.022940057349052214,0.08720761858049947,0.061849477812439685,0.9281425133883341,0.00625,0.31754079254079254,0.7798100688356258
64,655807,bike,6.070515588127198,4.493025592985031,6.659299195513878,6.192652685356557,0.4666465101573219,0.8002407407407408,0.022785999530185577,0.7888888888888889,0.4743044782229006,0.05491424039497689,0.047779188436383846,0.1449909335305524,0.06727939701437073,0.8002407407407408,0.022785999530185577,0.7888888888888889,0.7770753925002597
65,545148,motorbike,8.200694444444444,5.007638888888889,5.465048166118183,3.642404836502573,1.82264332961561,0.9863629756682446,0.0,0.6892857142857143,0.6898611423431528,0.0643342005576224,0.0294726244203228,0.028174437843671123,0.08779300780667519,0.9863629756682446,0.0,0.6892857142857143,0.7760132769825145
66,503650,bike,5.9180158730158725,3.2120282186948854,7.811346554916197,6.48570476683289,1.3256417880833078,0.9993703703703704,0.0,0.5592592592592592,0.45887275530855465,0.03146567361616387,0.06543881628288815,0.15841445910168273,0.08027433516683675,0.9993703703703704,0.0,0.5592592592592592,0.7641635901535034
67,480394,cargobike,2.474839743589744,5.785719373219373,3.667840154530927,4.3942653015461035,-0.7264251470151764,0.9425277777777777,0.0,0.12136752136752138,0.11045151441767141,0.07857690906139649,0.0019233883682106942,0.06261411193705876,0.049230528999810334,0.9425277777777777,0.0,0.12136752136752138,0.7610988463611514
68,509084,e_motorbike,3.5013457662870273,8.155256299439236,4.723152295675646,4.55837412213535,0.16477817354029567,0.8750488980716253,0.021460142679900745,0.3945075757575758,0.21432552166160612,0.12195111572604257,0.018100170965222952,0.07013127045212535,0.06271271258043833,0.8750488980716253,0.021460142679900745,0.3945075757575758,0.7608755397638651
69,359781,e_motorbike,7.751101591645071,6.516373280503715,5.8616102983604375,4.8066138218648256,1.0549964764956112,0.9379209203002288,0.005291005291005291,0.7572671156004489,0.6443660256892921,0.09195147741025946,0.03555148881444603,0.08150212282860793,0.07617999474877446,0.9379209203002288,0.005291005291005291,0.7572671156004489,0.7603459211182924
70,651704,bike,4.329008838383838,4.641111111111111,7.648142004146694,7.266788153285647,0.381353850861046,0.885712962962963,0.15132947118241236,0.7027777777777778,0.29807824989267534,0.057624935381903546,0.06293706875842822,0.1941927165309187,0.06598908394642165,0.885712962962963,0.15132947118241236,0.7027777777777778,0.758339215047981
71,472716,bike,2.910649136257342,8.954078225293722,6.8269656552008176,5.359542231917688,1.4674234232831291,1.1780648148148147,0.06818114119014547,0.1611111111111111,0.15455185772786237,0.13657349485711512,0.05034933215161132,0.10682952747954017,0.08241921724933862,1.1780648148148147,0.06818114119014547,0.1611111111111111,0.7402713552703127
72,479636,motorbike,5.255114638447972,1.9950176366843033,5.261367944418702,3.398672628566499,1.8626953158522024,0.899537037037037,0.0,0.35555555555555557,0.39179257641142057,0.009188380566589225,0.02635042906476694,0.017010055358293096,0.0883989169395922,0.899537037037037,0.0,0.35555555555555557,0.7223522342519306
73,382413,e_motorbikexl,4.892191899040425,5.046219380766408,4.991114435209473,4.061499948440908,0.9296144867685664,0.9938518518518519,0.014379084967320262,0.30000000000000004,0.3550677658125008,0.06504041374611608,0.02220773791765749,0.047371482694875525,0.07428320760243527,0.9938518518518519,0.014379084967320262,0.30000000000000004,0.7155021591109465
74,280920,e_motorbikexl,4.836038475886857,6.975193032846208,4.503760543771267,4.132390607952051,0.37136993581921557,0.9318663194444444,0.035963659995918065,0.39791666666666664,0.3493854990216069,0.10035014068480616,0.014737135010491051,0.0506186958725065,0.06583804661033603,0.9318663194444444,0.035963659995918065,0.39791666666666664,0.7128898089154464
75,284449,e_motorbike,6.933333333333334,2.712222222222222,7.248221560366645,3.984061936529799,3.2641596238368455,0.9973333333333334,0.34375,0.8333333333333334,0.5616145716213179,0.022316760027457392,0.05680672511610739,0.043824361896997115,0.10960036294651451,0.9973333333333334,0.34375,0.8333333333333334,0.6927538850582724
76,676744,bike,4.895354894579629,6.1303157184485375,6.592107654366631,6.391677695039966,0.20042995932666477,0.9743822629065308,0.01065117404986686,0.4305555555555556,0.3553878350710217,0.08488472090786385,0.046749215491774125,0.15410746084993082,0.06325205518595,0.9743822629065308,0.01065117404986686,0.4305555555555556,0.689905356905679
77,643403,motorbike,8.833333333333334,9.933333333333334,14.176918570591683,3.7878787878787876,10.389039782712896,1.0,0.0,1.0,0.753879019563751,0.15449869068906197,0.16301608331926365,0.03483800868880671,0.2173860276499055,1.0,0.0,1.0,0.6763821700892112
78,591459,motorbike,4.16375,2.9049404761904762,6.374774056932718,3.854024314187369,2.520749742745349,0.9455251650706196,0.0,0.21515151515151515,0.28135540814031934,0.025844454102689204,0.04341772879732429,0.037867866587600794,0.09835400842633461,0.9455251650706196,0.0,0.21515151515151515,0.6738372141678665
79,655803,bike,5.233954779788113,7.037029681566718,6.637657149754663,5.595390881329978,1.0422662684246846,0.8704566880930518,0.08681827431827432,0.6202020202020202,0.3896513719146955,0.10148205618752479,0.04744743951059053,0.11763279616936899,0.07598741130763013,0.8704566880930518,0.08681827431827432,0.6202020202020202,0.6716393588869878
80,416535,motorbike,10.442013888888889,4.752083333333333,7.959507077754065,4.504512364398492,3.454994713355572,0.9953472222222223,0.05,0.95,0.9166643242635486,0.05965627409937204,0.06770995528902907,0.0676640820989686,0.1124873289745511,0.9953472222222223,0.05,0.95,0.6711652574967528
81,685061,bike,2.9972222222222222,1.8106481481481482,5.269904217425248,4.193455072856795,1.0764491445684528,0.9964444444444445,0.0,0.0,0.16331234540139422,0.005813510054999535,0.026481280807328953,0.05341581098599333,0.0765045321495912,0.9964444444444445,0.0,0.0,0.6709169650451372
